tipo_de_compra;codigo;descricao;fornecedor;qtd_pedido;embalagem_padrao;qtd_corrigida;data_colocacao;semana_compra;rota_cod;centro;rota; preco_unitario ; valor_total ;dia_colocacao;comprador;de_chao;de_simulado;de_fechamento_sim_viveo;politica;forecast;estoque_chao;estoque_total;delta_forecast;estoque_projetado_c_pedido;de_com_pedido_filial
COMPRA SEMANAL;456;GLICOSE 50% 20ML HIPER. CX 100 AMP ISOFARMA;HALEXISTAR;7;1;7;21/05/2024;S3;-;Mafra - LDA;1002; R$ 74,00 ; R$ 518,00 ;;Alessandro;0;0;60;60;6;0;0;6;1;7
COMPRA SEMANAL;456;GLICOSE 50% 20ML HIPER. CX 100 AMP ISOFARMA;HALEXISTAR;43;1;43;21/05/2024;S3;-;Mafra - DF;1009; R$ 74,00 ; R$ 3.182,00 ;Livre;Alessandro;0;0;60;60;34;0;0;34;9;8
COMPRA SEMANAL;489;GLICOSE 25% 10ML CX C/200 AMP PLAST BD ISOFARMA;HALEXISTAR;4;1;4;21/05/2024;S3;-;Mafra - RPO;1001; R$ 90,00 ; R$ 360,00 ;Livre;Alessandro;8;8;60;60;4;1;1;2;3;23
COMPRA SEMANAL;489;GLICOSE 25% 10ML CX C/200 AMP PLAST BD ISOFARMA;HALEXISTAR;4;1;4;21/05/2024;S3;-;Mafra - LDA;1002; R$ 90,00 ; R$ 360,00 ;Livre;Alessandro;15;15;60;60;6;3;3;2;5;26
COMPRA SEMANAL;489;GLICOSE 25% 10ML CX C/200 AMP PLAST BD ISOFARMA;HALEXISTAR;2;1;2;21/05/2024;S3;-;Mafra - DF;1009; R$ 90,00 ; R$ 180,00 ;Livre;Alessandro;15;15;60;60;2;1;1;1;2;30
COMPRA SEMANAL;489;GLICOSE 25% 10ML CX C/200 AMP PLAST BD ISOFARMA;HALEXISTAR;10;1;10;21/05/2024;S3;-;Mafra - REC;1010; R$ 90,00 ; R$ 900,00 ;Livre;Alessandro;16;16;60;60;11;6;6;4;12;32
COMPRA SEMANAL;497;SULFATO DE MAGNESIO 10% 10ML CX 200 AMP ISOFARMA;HALEXISTAR;7;1;7;21/05/2024;S3;-;Mafra - LDA;1002; R$ 190,00 ; R$ 1.330,00 ;Livre;Alessandro;10;30;60;60;6;2;6;4;9;44
COMPRA SEMANAL;497;SULFATO DE MAGNESIO 10% 10ML CX 200 AMP ISOFARMA;HALEXISTAR;12;1;12;21/05/2024;S3;-;Mafra - CTL;1003; R$ 190,00 ; R$ 2.280,00 ;Livre;Alessandro;0;42;60;60;10;0;14;8;18;55
COMPRA SEMANAL;497;SULFATO DE MAGNESIO 10% 10ML CX 200 AMP ISOFARMA;HALEXISTAR;13;1;13;21/05/2024;S3;-;Mafra - DF;1009; R$ 190,00 ; R$ 2.470,00 ;Livre;Alessandro;0;35;60;60;11;0;13;8;18;50
COMPRA SEMANAL;497;SULFATO DE MAGNESIO 10% 10ML CX 200 AMP ISOFARMA;HALEXISTAR;1;1;1;21/05/2024;S3;-;Mafra - RJ;1023; R$ 190,00 ; R$ 190,00 ;Livre;Alessandro;0;0;60;60;1;0;0;1;0;6
